num,"time","in_fuel","out_power"
1070,"08.02.2018 20:49","0,250535","-0,0911465"
1080,"08.02.2018 20:59","0,248114","-0,0911465"
1090,"08.02.2018 21:09","0,250535","0,0759544"
1100,"08.02.2018 21:19","0,248114","-0,16276"
1110,"08.02.2018 21:29","0,250535","-0,0911465"
1120,"08.02.2018 21:39","0,254518","-0,138889"
1130,"08.02.2018 21:49","0,248114","-0,16276"
1140,"08.02.2018 21:59","0,250808","-0,282118"
1150,"08.02.2018 22:09","0,254796","-0,186632"
1160,"08.02.2018 22:19","0,254518","0,219185"
1170,"08.02.2018 22:29","0,254518","-0,115017"
1180,"08.02.2018 22:39","0,250808","-0,0911465"
1190,"08.02.2018 22:49","0,250808","-0,0195313"
1200,"08.02.2018 22:59","0,254518","0,0282116"
1210,"08.02.2018 23:09","0,250003","-0,0434036"
1220,"08.02.2018 23:19","0,251336","-0,377604"
1230,"08.02.2018 23:29","0,254796","-0,0672741"
1240,"08.02.2018 23:39","0,254474","0,123697"
1250,"08.02.2018 23:49","0,25396","-0,115017"
1260,"08.02.2018 23:59","0,247259","0,0282116"
1270,"09.02.2018 0:09","0,255542","-0,0672741"
1280,"09.02.2018 0:19","0,255263","0,219185"
1290,"09.02.2018 0:29","0,254752","0,0759544"
1300,"09.02.2018 0:39","0,254474","-0,0434036"
1310,"09.02.2018 0:49","0,250491","-0,282118"
1320,"09.02.2018 0:59","0,250491","-0,234375"
1330,"09.02.2018 1:09","0,254474","-0,329861"
1340,"09.02.2018 1:19","0,254752","-0,0434036"
1350,"09.02.2018 1:29","0,254752","-0,16276"
1360,"09.02.2018 1:39","0,250491","0,243055"
1370,"09.02.2018 1:49","0,24996","-0,138889"
1380,"09.02.2018 1:59","0,250491","0,0282116"
1390,"09.02.2018 2:09","0,65216","0,0282116"
1400,"09.02.2018 2:19","0,597123","-0,329861"
1410,"09.02.2018 2:29","0,323428","-0,401476"
1420,"09.02.2018 2:39","0,198701","-0,0672741"
1430,"09.02.2018 2:49","0,281263","-0,234375"
1440,"09.02.2018 2:59","0,32494","-0,377604"
1450,"09.02.2018 3:09","0","-0,425346"
1460,"09.02.2018 3:19","0,281664","-0,377604"
1470,"09.02.2018 3:29","0,199267","-0,115017"
1480,"09.02.2018 3:39","0,281864","-0,16276"
1490,"09.02.2018 3:49","0,281958","-0,0195313"
1500,"09.02.2018 3:59","0,282044","-0,377604"
1510,"09.02.2018 4:09","0,28212","-0,138889"
1520,"09.02.2018 4:19","0,199556","-0,0434036"
1530,"09.02.2018 4:29","0,282233","-0,520834"
1540,"09.02.2018 4:39","0,257721","-0,30599"
1550,"09.02.2018 4:49","0,199656","-0,234375"
1560,"09.02.2018 4:59","0,30503","-0,401476"
1570,"09.02.2018 5:09","0,28243","-0,0911465"
1580,"09.02.2018 5:19","0,282507","0,0998268"
1590,"09.02.2018 5:29","0,305152","-0,282118"
1600,"09.02.2018 5:39","0,115348","-0,234375"
1610,"09.02.2018 5:49","0,257926","-0,16276"
1620,"09.02.2018 5:59","0,199808","0,0759544"
1630,"09.02.2018 6:09","0,199862","-0,377604"
1640,"09.02.2018 6:19","0,282694","-0,0195313"
1650,"09.02.2018 6:29","0,199902","-0,30599"
1660,"09.02.2018 6:39","0,199921","0,052084"
1670,"09.02.2018 6:49","0","-0,353733"
1680,"09.02.2018 6:59","0,199975","-0,0195313"
1690,"09.02.2018 7:09","0,280309","-0,16276"
1700,"09.02.2018 7:19","0,323672","0,052084"
1710,"09.02.2018 7:29","0,302372","-0,16276"
1720,"09.02.2018 7:39","0,279979","-0,16276"
1730,"09.02.2018 7:49","0,396706","-0,425346"
1740,"09.02.2018 7:59","0,198453","-0,234375"
1750,"09.02.2018 8:09","0,323704","-0,0195313"
1760,"09.02.2018 8:19","0,732695","-0,30599"
1770,"09.02.2018 8:29","0,198717","-0,0434036"
1780,"09.02.2018 8:39","0,324676","-0,0195313"
1790,"09.02.2018 8:49","0,324213","-4,55512"
1800,"09.02.2018 8:59","0,198545","-1,95313"
1810,"09.02.2018 9:09","3,48671","-2,62153"
1820,"09.02.2018 9:19","5,03846","20,6771"
1830,"09.02.2018 9:29","5,06312","20,3429"
1840,"09.02.2018 9:39","4,96882","20,51"
1850,"09.02.2018 9:49","4,94365","19,2209"
1860,"09.02.2018 9:59","4,92757","19,7222"
1870,"09.02.2018 10:09","4,95113","19,7938"
1880,"09.02.2018 10:19","4,90329","20,51"
1890,"09.02.2018 10:29","4,8708","19,4119"
1900,"09.02.2018 10:39","4,87887","20,701"
1910,"09.02.2018 10:49","4,91354","20,0326"
1920,"09.02.2018 10:59","4,91355","19,5551"
1930,"09.02.2018 11:09","4,90809","20,51"
1940,"09.02.2018 11:19","4,96627","20,0326"
1950,"09.02.2018 11:29","4,88061","20,4622"
1960,"09.02.2018 11:39","4,89237","20,7248"
1970,"09.02.2018 11:49","4,94605","19,8893"
1980,"09.02.2018 11:59","4,87963","20,6532"
1990,"09.02.2018 12:09","4,85991","20,5577"
2000,"09.02.2018 12:19","4,9312","20,2474"
2010,"09.02.2018 12:29","4,85565","19,7938"
2020,"09.02.2018 12:39","4,92569","19,8655"
2030,"09.02.2018 12:49","4,84808","19,4596"
2040,"09.02.2018 12:59","4,92133","19,8655"
2050,"09.02.2018 13:09","4,87822","18,7674"
2060,"09.02.2018 13:19","4,90563","19,7461"
2070,"09.02.2018 13:29","4,84031","19,3642"
2080,"09.02.2018 13:39","4,89018","19,5074"
2090,"09.02.2018 13:49","4,8888","19,4358"
2100,"09.02.2018 13:59","4,97328","20,4145"
2110,"09.02.2018 14:09","4,94756","21,8945"
2120,"09.02.2018 14:19","4,95947","21,1306"
2130,"09.02.2018 14:29","5,32172","35,549"
2140,"09.02.2018 14:39","5,29026","33,6393"
2150,"09.02.2018 14:49","5,43621","39,2491"
2160,"09.02.2018 14:59","5,38681","39,6549"
2170,"09.02.2018 15:09","5,43818","40,2995"
2180,"09.02.2018 15:19","5,73407","49,5139"
2190,"09.02.2018 15:29","5,69173","49,4661"
2200,"09.02.2018 15:39","5,71737","49,6332"
2210,"09.02.2018 15:49","5,75575","49,6332"
2220,"09.02.2018 15:59","5,99246","58,4418"
2230,"09.02.2018 16:09","5,96421","58,6089"
2240,"09.02.2018 16:19","6,15384","62,5955"
2250,"09.02.2018 16:29","6,20417","66,3672"
2260,"09.02.2018 16:39","6,29881","69,9479"
2270,"09.02.2018 16:49","6,45077","75,7964"
2280,"09.02.2018 16:59","6,63156","80,7617"
2290,"09.02.2018 17:09","6,7817","85,1541"
2300,"09.02.2018 17:19","6,89975","89,0451"
2310,"09.02.2018 17:29","7,13691","94,4162"
2320,"09.02.2018 17:39","7,36069","100,647"
2330,"09.02.2018 17:49","7,57425","105,302"
2340,"09.02.2018 17:59","7,75141","111,246"
2350,"09.02.2018 18:09","7,74232","112,272"
2360,"09.02.2018 18:19","7,91365","117,046"
2370,"09.02.2018 18:29","8,02533","118,264"
2380,"09.02.2018 18:39","8,02996","119,959"
2390,"09.02.2018 18:49","8,0623","120,126"
2400,"09.02.2018 18:59","8,08747","122,847"
2410,"09.02.2018 19:09","8,94989","144,809"
2420,"09.02.2018 19:19","9,86645","168,251"
2430,"09.02.2018 19:29","10,7639","192,958"
2440,"09.02.2018 19:39","11,8206","215,158"
2450,"09.02.2018 19:49","12,736","238,958"
2460,"09.02.2018 19:59","13,644","262,161"
2470,"09.02.2018 20:09","13,7188","265,098"
2480,"09.02.2018 20:19","13,7348","265,432"
2490,"09.02.2018 20:29","14,1485","274,264"
2500,"09.02.2018 20:39","14,628","284,959"
2510,"09.02.2018 20:49","14,5204","285,007"
2520,"09.02.2018 20:59","14,5547","285,532"
2530,"09.02.2018 21:09","14,6597","286,415"
2540,"09.02.2018 21:19","14,6316","285,985"
2550,"09.02.2018 21:29","14,5416","285,818"
2560,"09.02.2018 21:39","14,6288","285,938"
2570,"09.02.2018 21:49","14,6407","286,152"
2580,"09.02.2018 21:59","14,4658","286,487"
2590,"09.02.2018 22:09","14,5701","285,866"
2600,"09.02.2018 22:19","14,5547","286,463"
2610,"09.02.2018 22:29","14,5944","286,128"
2620,"09.02.2018 22:39","14,5653","286,415"
2630,"09.02.2018 22:49","14,7018","284,792"
2640,"09.02.2018 22:59","14,7148","286,367"
2650,"09.02.2018 23:09","14,491","286,606"
